
> kids-painting-frontend@1.0.0 dev
> vite

[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m

  VITE v5.4.20  ready in 2286 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: use --host to expose
5:45:32 PM [vite] hmr update /src/pages/CategoryPage.tsx
5:47:40 PM [vite] hmr update /src/pages/CategoryPage.tsx
5:47:40 PM [vite] page reload src/locales/es/translation.json
5:47:40 PM [vite] hmr update /src/pages/CategoriesPage.tsx
5:47:43 PM [vite] page reload src/locales/es/translation.json
5:47:43 PM [vite] hmr update /src/pages/CategoriesPage.tsx
5:47:43 PM [vite] hmr update /src/pages/CategoryPage.tsx
6:10:14 PM [vite] page reload src/locales/en/translation.json
6:10:26 PM [vite] page reload src/locales/es/translation.json
6:12:04 PM [vite] page reload src/locales/en/translation.json
6:12:04 PM [vite] page reload src/locales/es/translation.json
